market_id,asset,n_rows,bid_not_decreasing_up,bid_not_decreasing_down,ask_not_increasing_up,ask_not_increasing_down,crossed_up,crossed_down,crossed_rate_up,crossed_rate_down,missing_l1_up,missing_l2_up,missing_l3_up,missing_l4_up,missing_l5_up,missing_l6_up,missing_l1_down,missing_l2_down,missing_l3_down,missing_l4_down,missing_l5_down,missing_l6_down,median_spread_l1_up,median_spread_l1_down,median_top6_depth_up,median_top6_depth_down,l1_price_churn_up,l1_price_churn_down,negative_sizes_up,negative_sizes_down,quality_score
20260107_0300_26854659750,ETH,67,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,566.0,560.63,17.91044776119403,11.940298507462686,0,0,100.0
20260107_0315,ETH,30,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,7342.305,7302.645,36.666666666666664,33.33333333333333,0,0,100.0
20260107_0315_3277,ETH,197,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000002,7300.3099999999995,7276.3099999999995,18.781725888324875,17.258883248730964,0,0,100.0
20260107_0330_3274,ETH,776,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,5177.594999999999,5160.7699999999995,22.809278350515463,22.422680412371136,0,0,100.0
20260107_0345_3264,ETH,860,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3659.54,3673.08,39.30232558139535,40.0,0,0,100.0
20260107_0400_3264,ETH,845,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3775.8500000000004,3777.22,39.408284023668635,39.76331360946745,0,0,100.0
20260107_0415_3261,ETH,843,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3904.9900000000002,3901.33,39.97627520759193,40.45077105575326,0,0,100.0
20260107_0430_3261,ETH,844,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3952.6050000000005,3954.215,29.85781990521327,30.450236966824644,0,0,100.0
20260107_0445_3260,ETH,807,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.010000000000000009,2314.58,2320.47,14.869888475836431,15.489467162329614,0,0,100.0
20260107_0500_3253,ETH,851,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,2602.3,2597.02,28.437132784958873,27.73207990599295,0,0,100.0
20260107_0515_3254,ETH,837,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3666.88,3660.12,33.811230585424134,33.930704898446834,0,0,100.0
20260107_0530_3253,ETH,825,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.01,4715.7300000000005,4725.5199999999995,19.151515151515152,19.151515151515152,0,0,100.0
20260107_0545_3246,ETH,807,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.010000000000000009,4063.96,4093.08,16.728624535315987,17.843866171003718,0,0,100.0
20260107_0600_3248,ETH,825,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3855.71,3815.38,30.909090909090907,31.87878787878788,0,0,100.0
20260107_0615_3251,ETH,737,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4401.16,4396.379999999999,19.402985074626866,18.588873812754407,0,0,100.0
20260107_0630_3256,ETH,757,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4085.78,4081.76,24.17437252311757,24.042272126816382,0,0,100.0
20260107_0645_3247,ETH,828,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3474.1,3480.28,25.724637681159418,26.32850241545894,0,0,100.0
20260107_0700_3251,ETH,761,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.009999999999999995,4338.32,4343.550000000001,14.586070959264127,14.98028909329829,0,0,100.0
20260107_0715_3257,ETH,851,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3531.38,3558.0199999999995,31.962397179788482,31.609870740305524,0,0,100.0
20260107_0730_3258,ETH,853,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3306.5,3315.6899999999996,45.25205158264947,44.4314185228605,0,0,100.0
20260107_0745_3253,ETH,860,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3013.375,3008.81,32.44186046511628,31.51162790697675,0,0,100.0
20260107_0800_3254,ETH,811,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,5238.13,5238.129999999999,31.689272503082616,30.949445129469787,0,0,100.0
20260107_0815_3256,ETH,839,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3696.51,3709.9399999999996,25.864123957091778,25.387365911799765,0,0,100.0
20260107_0830_3255,ETH,828,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4048.4400000000005,4036.4649999999997,35.507246376811594,35.869565217391305,0,0,100.0
20260107_0845_3251,ETH,842,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4347.4,4329.745000000001,31.59144893111639,30.04750593824228,0,0,100.0
20260107_0900_3248,ETH,741,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4435.92,4467.43,31.309041835357625,30.76923076923077,0,0,100.0
20260107_0915_3237,ETH,834,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4395.47,4339.3,45.68345323741007,44.724220623501196,0,0,100.0
20260107_0930_3225,ETH,766,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,5246.465,5269.555,33.420365535248045,32.24543080939948,0,0,100.0
20260107_0945_3204,ETH,834,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3078.435,3059.67,29.496402877697843,27.937649880095922,0,0,100.0
20260107_1000_3197,ETH,777,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.01,5236.39,5219.84,33.84813384813385,32.94723294723295,0,0,100.0
20260107_1015_3205,ETH,847,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3739.58,3732.93,37.42621015348288,37.1900826446281,0,0,100.0
20260107_1030_3208,ETH,822,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.01,3990.965,4019.545,24.45255474452555,24.695863746958636,0,0,100.0
20260107_1045_3211,ETH,805,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4748.23,4751.150000000001,26.08695652173913,25.838509316770185,0,0,100.0
20260107_1100_3214,ETH,831,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,5409.069999999999,5382.77,29.24187725631769,29.121540312876053,0,0,100.0
20260107_1115_3221,ETH,854,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4009.21,4017.6400000000003,35.714285714285715,35.011709601873534,0,0,100.0
20260107_1130_3222,ETH,863,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4261.12,4263.0,41.714947856315185,41.714947856315185,0,0,100.0
20260107_1145_3221,ETH,839,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4530.800000000001,4532.99,38.021454112038136,37.06793802145411,0,0,100.0
20260107_1200_3218,ETH,846,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4301.195,4295.355,37.94326241134752,38.17966903073286,0,0,100.0
20260107_1215_3215,ETH,841,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4025.7400000000002,4023.5899999999997,33.650416171224734,33.650416171224734,0,0,100.0
20260107_1230_3216,ETH,852,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,3634.95,3606.64,38.26291079812207,39.906103286384976,0,0,100.0
20260107_1245,ETH,74,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.010000000000000009,4211.45,4224.75,39.189189189189186,41.891891891891895,0,0,100.0
