market_id,asset,market_start,market_end,strike_K,price_to_beat_from_folder,settlement,outcome_Y,outcome_label,k_source,k_offset_seconds,has_exact_k,settlement_offset_seconds,has_exact_settlement,cl_coverage_pct,pm_coverage_pct,both_coverage_pct,either_coverage_pct
20260106_0215_93747,BTC,2026-01-06T02:15:00+00:00,2026-01-06T02:30:00+00:00,93747.161,93747,93701.74,0,DOWN,computed,0.0,True,1.0,False,99.78,99.78,99.56,100.0
20260106_0330_93764,BTC,2026-01-06T03:30:00+00:00,2026-01-06T03:45:00+00:00,93764.42,93764,93813.151,1,UP,computed,0.0,True,1.0,False,99.11,97.89,97.0,100.0
20260106_0415_3232,ETH,2026-01-06T04:15:00+00:00,2026-01-06T04:30:00+00:00,3231.942,3232,3226.191,0,DOWN,computed,0.0,True,1.0,False,99.33,93.44,92.89,99.89
20260106_0430_3226,ETH,2026-01-06T04:30:00+00:00,2026-01-06T04:45:00+00:00,3226.191,3226,3224.041,0,DOWN,computed,0.0,True,1.0,False,99.0,96.56,95.56,100.0
20260106_0445_3224,ETH,2026-01-06T04:45:00+00:00,2026-01-06T05:00:00+00:00,3224.041,3224,3225.202,1,UP,computed,0.0,True,1.0,False,99.44,93.78,93.22,100.0
20260106_0500_3225,ETH,2026-01-06T05:00:00+00:00,2026-01-06T05:15:00+00:00,3225.121,3225,3224.981,0,DOWN,computed,0.0,True,1.0,False,98.89,93.33,92.33,99.89
20260106_0515_3225,ETH,2026-01-06T05:15:00+00:00,2026-01-06T05:30:00+00:00,3225.341,3225,3223.892,0,DOWN,computed,0.0,True,1.0,False,99.11,96.22,95.33,100.0
20260106_0530_3224,ETH,2026-01-06T05:30:00+00:00,2026-01-06T05:45:00+00:00,3223.892,3224,3217.392,0,DOWN,computed,0.0,True,1.0,False,99.22,92.11,91.33,100.0
20260106_0545_3217,ETH,2026-01-06T05:45:00+00:00,2026-01-06T06:00:00+00:00,3217.382,3217,3220.372,1,UP,computed,0.0,True,1.0,False,99.22,96.89,96.11,100.0
20260106_0600_3220,ETH,2026-01-06T06:00:00+00:00,2026-01-06T06:15:00+00:00,3220.472,3220,3221.702,1,UP,computed,0.0,True,1.0,False,99.11,91.44,90.56,100.0
20260106_0615_3222,ETH,2026-01-06T06:15:00+00:00,2026-01-06T06:30:00+00:00,3221.702,3222,3226.572,1,UP,computed,0.0,True,1.0,False,99.22,94.78,94.0,100.0
20260106_0630_3227,ETH,2026-01-06T06:30:00+00:00,2026-01-06T06:45:00+00:00,3226.622,3227,3250.303,1,UP,computed,0.0,True,1.0,False,99.56,89.78,89.33,100.0
20260106_0645_3250,ETH,2026-01-06T06:45:00+00:00,2026-01-06T07:00:00+00:00,3250.123,3250,3239.442,0,DOWN,computed,0.0,True,1.0,False,99.44,96.0,95.44,100.0
20260106_0700_3239,ETH,2026-01-06T07:00:00+00:00,2026-01-06T07:15:00+00:00,3239.452,3239,3233.942,0,DOWN,computed,0.0,True,1.0,False,99.0,93.0,92.0,100.0
20260106_0715_3234,ETH,2026-01-06T07:15:00+00:00,2026-01-06T07:30:00+00:00,3233.942,3234,3217.801,0,DOWN,computed,0.0,True,1.0,False,99.33,90.22,89.67,99.89
20260106_0730_3218,ETH,2026-01-06T07:30:00+00:00,2026-01-06T07:45:00+00:00,3217.811,3218,3216.061,0,DOWN,computed,0.0,True,1.0,False,99.11,97.0,96.11,100.0
20260106_0745_3216,ETH,2026-01-06T07:45:00+00:00,2026-01-06T08:00:00+00:00,3215.981,3216,3219.641,1,UP,computed,0.0,True,1.0,False,99.0,97.11,96.22,99.89
20260106_0800_3220,ETH,2026-01-06T08:00:00+00:00,2026-01-06T08:15:00+00:00,3219.621,3220,3219.981,1,UP,computed,0.0,True,1.0,False,99.44,93.44,92.89,100.0
20260106_0815_3220,ETH,2026-01-06T08:15:00+00:00,2026-01-06T08:30:00+00:00,3219.741,3220,3215.191,0,DOWN,computed,0.0,True,1.0,False,99.22,93.33,92.56,100.0
20260106_0830_3215,ETH,2026-01-06T08:30:00+00:00,2026-01-06T08:45:00+00:00,3215.131,3215,3217.371,1,UP,computed,0.0,True,1.0,False,98.89,95.56,94.44,100.0
20260106_0845_3217,ETH,2026-01-06T08:45:00+00:00,2026-01-06T09:00:00+00:00,3217.311,3217,3216.572,0,DOWN,computed,0.0,True,1.0,False,99.33,95.67,95.0,100.0
20260106_0900_3217,ETH,2026-01-06T09:00:00+00:00,2026-01-06T09:15:00+00:00,3216.642,3217,3223.641,1,UP,computed,0.0,True,1.0,False,99.44,94.56,94.0,100.0
20260106_0915_3224,ETH,2026-01-06T09:15:00+00:00,2026-01-06T09:30:00+00:00,3223.611,3224,3225.531,1,UP,computed,0.0,True,1.0,False,99.22,93.33,92.67,99.89
20260106_0930_3225,ETH,2026-01-06T09:30:00+00:00,2026-01-06T09:45:00+00:00,3225.141,3225,3220.951,0,DOWN,computed,0.0,True,1.0,False,98.56,89.56,88.22,99.89
20260106_0945_3221,ETH,2026-01-06T09:45:00+00:00,2026-01-06T10:00:00+00:00,3220.911,3221,3222.331,1,UP,computed,0.0,True,1.0,False,98.44,94.89,93.56,99.78
20260106_1000_3222,ETH,2026-01-06T10:00:00+00:00,2026-01-06T10:15:00+00:00,3222.341,3222,3227.671,1,UP,computed,0.0,True,1.0,False,99.22,88.0,87.22,100.0
20260106_1015_3228,ETH,2026-01-06T10:15:00+00:00,2026-01-06T10:30:00+00:00,3227.681,3228,3227.171,0,DOWN,computed,0.0,True,1.0,False,99.0,96.56,95.56,100.0
20260106_1030_3227,ETH,2026-01-06T10:30:00+00:00,2026-01-06T10:45:00+00:00,3227.191,3227,3227.691,1,UP,computed,0.0,True,1.0,False,98.89,95.0,93.89,100.0
20260106_1045_3228,ETH,2026-01-06T10:45:00+00:00,2026-01-06T11:00:00+00:00,3227.681,3228,3226.421,0,DOWN,computed,0.0,True,1.0,False,98.89,95.89,94.78,100.0
20260106_1100_3226,ETH,2026-01-06T11:00:00+00:00,2026-01-06T11:15:00+00:00,3226.421,3226,3235.402,1,UP,computed,0.0,True,1.0,False,99.44,85.78,85.22,100.0
20260106_1115_3235,ETH,2026-01-06T11:15:00+00:00,2026-01-06T11:30:00+00:00,3235.402,3235,3238.191,1,UP,computed,0.0,True,1.0,False,99.44,94.67,94.33,99.78
20260106_1330_139,SOL,2026-01-06T13:30:00+00:00,2026-01-06T13:45:00+00:00,139.064,139,138.793,0,DOWN,computed,0.0,True,1.0,False,98.89,86.78,85.78,99.89
